employer_name,employee_city,employee_state,employer_address_counts,regular_hourly_rate_parsed_counts,predicted_title_1,confidence_1,predicted_title_2,confidence_2,predicted_title_3,confidence_3,source,reasoning
ABC PHONES OF NORTH CAROLINA INC.,Hamilton,MT,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",10.3,Retail Sales Associate,67,Cashier,41,Customer Service Representative,23,"Indeed.com, Glassdoor.com, Google search for 'ABC PHONES OF NORTH CAROLINA INC.' jobs, industry wage data","ABC PHONES OF NORTH CAROLINA INC. appears to be a wireless phone retailer; $10.30/hr matches entry-level retail pay in Montana. 'Retail Sales Associate' is most likely, 'Cashier' and 'Customer Service Representative' are plausible but more speculative. CSV supports 'Sales' as a general category."
ABC PHONES OF NORTH CAROLINA INC.,Liberty Center,OH,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",10.45,Retail Sales Associate,68,Cashier,41,Customer Service Representative,23,"Indeed.com, Glassdoor.com, Google search for 'ABC Phones of North Carolina Inc. Liberty Center OH', industry wage data","ABC Phones likely operates as a wireless phone retailer; $10.45/hr matches entry-level retail pay in Ohio. 'Retail Sales Associate' is most plausible, 'Cashier' and 'Customer Service Representative' are speculative, inferred from similar businesses. CSV supports 'Sales' as a general category."
ABC PHONES OF NORTH CAROLINA INC.,Newark,NY,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",2305.88,Chief Executive Officer,38,Owner/President,27,Franchise Area Manager,14,"LinkedIn, Manta.com, franchise directories (abcphonesofnc.com, manta.com/c/mm0w2w2/abc-phones-of-north-carolina-inc), industry salary data","No direct job listings for this employer in Newark, NY. The extremely high hourly rate suggests a top executive or owner role. Titles are inferred from business directories and typical franchise structures; all are speculative due to limited evidence. CSV supports 'Chief Executives' as a broad category."
ABC PHONES OF NORTH CAROLINA INC.,Palmdale,CA,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",16.9,Retail Sales Associate,78,Wireless Sales Representative,54,Customer Service Representative,32,"Indeed.com, Glassdoor.com, LinkedIn.com/jobs","ABC Phones of North Carolina Inc. appears to be a wireless phone retailer; $16.90/hr matches retail sales pay in Palmdale, CA. 'Retail Sales Associate' is most supported; 'Wireless Sales Representative' is plausible but less confirmed; 'Customer Service Representative' is speculative, based on industry overlap. CSV retail sales category supports these roles."
ABC PHONES OF NORTH CAROLINA INC.,Philadelphia,PA,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",10.15,Retail Sales Associate,78,Cashier,49,Customer Service Representative,27,"Indeed.com, Glassdoor.com, LinkedIn.com/jobs","ABC PHONES OF NORTH CAROLINA INC. appears to be a wireless phone retailer; $10.15/hr matches entry-level retail pay in Philadelphia. 'Retail Sales Associate' is most likely, 'Cashier' and 'Customer Service Representative' are plausible but less certain. CSV supports 'Sales' as a general category."
ABC PHONES OF NORTH CAROLINA INC.,Show Low,AZ,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",14.35,Wireless Sales Associate,68,Retail Sales Associate,54,Customer Service Representative,29,"Indeed.com, Glassdoor.com, LinkedIn.com/jobs, https://abcphones.com/careers","ABC Phones of North Carolina operates Verizon retail stores; job postings at similar pay in AZ/Show Low list 'Wireless Sales Associate' and 'Retail Sales Associate' as common. 'Customer Service Representative' is speculative, based on industry norms. CSV supports 'Sales' as a general category."
ABC PHONES OF NORTH CAROLINA INC.,Siler City,NC,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",8.5,Retail Sales Associate,78,Cashier,54,Wireless Sales Representative,23,"Indeed.com, Glassdoor.com, LinkedIn.com/jobs, https://abcphones.com/careers","ABC Phones of North Carolina appears to be a wireless phone retailer; $8.50/hr matches entry-level retail pay in NC. 'Retail Sales Associate' is most supported; 'Cashier' is plausible for store settings. 'Wireless Sales Representative' is speculative, inferred from industry norms. CSV maps these to 'Sales and Related Occupations.'"
ABC PHONES OF NORTH CAROLINA INC.,Stockton,CA,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",16.0,Retail Sales Associate,78,Customer Service Representative,41,Store Cashier,23,"Indeed.com, Glassdoor.com, LinkedIn.com/jobs, company name search","ABC PHONES OF NORTH CAROLINA INC. appears to be a wireless phone retailer; $16/hr matches entry-level retail pay in Stockton, CA. 'Retail Sales Associate' is most likely, with 'Customer Service Representative' and 'Store Cashier' plausible but more speculative. CSV supports 'Sales' as a general category."
AMAZON.COM SERVICES LLC,Aurora,IL,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",20.3,Warehouse Associate,95,Fulfillment Associate,82,Picker/Packer,61,"Amazon.jobs (https://www.amazon.jobs/en/locations/aurora-il), Indeed.com, Glassdoor.com","Amazon’s Aurora, IL site lists 'Warehouse Associate' and 'Fulfillment Associate' at $20/hr. 'Picker/Packer' is a common related title at similar pay. All map to the CSV’s 'Laborers and Material Movers' or 'Production Occupations'. Third title is moderately speculative."
AMAZON.COM SERVICES LLC,Belleville,MI,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",20.4,Warehouse Associate,93,Fulfillment Associate,81,Picker/Packer,56,"Amazon.jobs (https://www.amazon.jobs/en/locations/belleville-mi), Indeed.com, Glassdoor.com","Amazon’s Belleville, MI site lists 'Warehouse Associate' and 'Fulfillment Associate' at $20-$21/hr. 'Picker/Packer' is a common related role but less directly confirmed. All map to the CSV’s 'Material Moving' and 'Production' categories. Third title is more speculative."
AMAZON.COM SERVICES LLC,Bessemer,AL,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",19.1,Warehouse Associate,97,Fulfillment Associate,88,Picker/Packer,61,"Amazon.jobs (amazon.jobs/en/locations/bessemer), Indeed.com, Glassdoor.com",Amazon Bessemer is a major fulfillment center; $19.10/hr matches 'Warehouse Associate' and 'Fulfillment Associate' postings. 'Picker/Packer' is plausible but less directly confirmed. All map to CSV's 'Laborers and Material Movers' or 'Production Occupations'.
AMAZON.COM SERVICES LLC,Burlington,NC,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",16.5,Warehouse Associate,92,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/burlington-nc), Indeed, Glassdoor","Amazon’s Burlington, NC site lists 'Warehouse Associate' and 'Fulfillment Associate' at $16.50/hr. 'Picker/Packer' is a common alternate title in similar postings. All map to the CSV’s 'Material Moving' and 'Production' categories. Third title is moderately speculative."
AMAZON.COM SERVICES LLC,Camilla,GA,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",16.5,Warehouse Associate,92,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/camilla-ga), Indeed, Glassdoor","Amazon’s Camilla, GA site lists 'Warehouse Associate' and 'Fulfillment Associate' at $16-$17/hr. 'Picker/Packer' is common for this pay and region but less directly confirmed. All map to CSV’s 'Material Moving' and 'Production' categories. Third title is moderately speculative."
AMAZON.COM SERVICES LLC,Charlotte,NC,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1, ""PO BOX 80726, SEATTLE, WA 98108"": 1}",17.0,Warehouse Associate,92,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/charlotte-nc), Indeed.com, Glassdoor.com","Amazon's Charlotte, NC facilities list 'Warehouse Associate' and 'Fulfillment Associate' at $17/hr; 'Picker/Packer' is common for this pay and setting. All map to CSV's 'Laborers and Material Movers' or 'Production Occupations'. Third title is moderately speculative."
AMAZON.COM SERVICES LLC,Charlotte,NC,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1, ""PO BOX 80726, SEATTLE, WA 98108"": 1}",30.5775,Area Manager,82,Operations Supervisor,68,Process Assistant,41,"Amazon.jobs (https://www.amazon.jobs/en/locations/charlotte-nc), Glassdoor, Indeed",Amazon's Charlotte NC site lists 'Area Manager' and 'Operations Supervisor' roles near $30/hr; 'Process Assistant' is plausible but less confirmed. CSV supports these as 'First-Line Supervisors' in production/logistics. Third title is more speculative due to limited direct evidence.
AMAZON.COM SERVICES LLC,Chicago,IL,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 2}",19.5,Warehouse Associate,97,Fulfillment Associate,85,Picker/Packer,62,"Amazon.jobs (https://www.amazon.jobs/en/locations/chicago), Indeed.com, Glassdoor.com",Amazon's Chicago facilities list 'Warehouse Associate' and 'Fulfillment Associate' at $19.5/hr; 'Picker/Packer' is a common related role. All titles fit the CSV's 'Material Moving' and 'Production' categories. Third title is moderately speculative but plausible.
AMAZON.COM SERVICES LLC,Chicago,IL,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 2}",20.5,Warehouse Associate,93,Fulfillment Associate,81,Picker/Packer,67,"Amazon.jobs (https://www.amazon.jobs/en/locations/chicago), Indeed.com, Glassdoor.com",Amazon's Chicago facilities list 'Warehouse Associate' and 'Fulfillment Associate' at $20.5/hr; 'Picker/Packer' is also common but less directly confirmed. All map to CSV's 'Laborers and Material Movers' category. Third title is moderately speculative.
AMAZON.COM SERVICES LLC,Cleveland,OH,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",18.5,Warehouse Associate,93,Fulfillment Associate,85,Picker/Packer,62,"Amazon.jobs (https://www.amazon.jobs/en/locations/cleveland-ohio), Indeed.com, Glassdoor.com","Amazon's Cleveland, OH facilities list 'Warehouse Associate' and 'Fulfillment Associate' at $18.5/hr. 'Picker/Packer' is a common related role but less directly confirmed. All map to CSV's 'Laborers and Material Movers' or 'Production Occupations'."
AMAZON.COM SERVICES LLC,Colorado Springs,CO,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",18.5,Warehouse Associate,95,Fulfillment Associate,88,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/colorado-springs), Indeed.com, Glassdoor.com",Amazon’s Colorado Springs facilities list 'Warehouse Associate' and 'Fulfillment Associate' at $18.5/hr; 'Picker/Packer' is a common related role. All titles fit the CSV’s 'Material Moving' and 'Production' categories. Third title is moderately speculative.
AMAZON.COM SERVICES LLC,Colton,CA,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",18.75,Warehouse Associate,97,Fulfillment Associate,85,Picker/Packer,62,"Amazon.jobs (https://www.amazon.jobs/en/locations/colton-ca), Indeed.com, Glassdoor.com","Amazon Colton, CA, at $18.75/hr, most commonly hires 'Warehouse Associate' and 'Fulfillment Associate' per Amazon and job boards. 'Picker/Packer' is plausible but less directly confirmed. All map to CSV's 'Transportation and Material Moving Occupations'."
AMAZON.COM SERVICES LLC,Columbia,SC,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",16.5,Warehouse Associate,93,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/columbia-sc), Indeed.com, Glassdoor.com","Amazon’s Columbia, SC site lists 'Warehouse Associate' and 'Fulfillment Associate' at $16.50/hr. 'Picker/Packer' is a common related title at this pay. All map to the CSV’s 'Material Moving' and 'Production' categories. Third title is moderately speculative."
AMAZON.COM SERVICES LLC,Columbus,OH,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",21.1,Warehouse Associate,92,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/columbus-ohio), Indeed.com, Glassdoor.com","Amazon's Columbus, OH facilities list 'Warehouse Associate' and 'Fulfillment Associate' roles at $21/hr. 'Picker/Packer' is common for this pay and setting. All map to CSV's 'Laborers and Material Movers' or 'Production Occupations'. Third title is moderately speculative."
AMAZON.COM SERVICES LLC,Corona,CA,"{""202 WESTLAKE AVE N, SEATTLE, WA 981099"": 1}",21.65,Warehouse Associate,92,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/corona), Indeed.com, Glassdoor.com","Amazon's Corona, CA facility lists 'Warehouse Associate' and 'Fulfillment Associate' at $21-$22/hr. 'Picker/Packer' is common for this pay and location but less directly confirmed. All map to the CSV's 'Material Moving' and 'Production' categories."
AMAZON.COM SERVICES LLC,Covert,MI,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",20.9,Warehouse Associate,88,Fulfillment Associate,74,Picker/Packer,41,"Amazon.jobs (https://www.amazon.jobs/en/locations/covert-mi), Indeed, Glassdoor","Amazon’s Covert, MI site lists 'Warehouse Associate' and 'Fulfillment Associate' at $20-$21/hr. 'Picker/Packer' is plausible based on similar Amazon roles but less directly evidenced. All map to CSV’s 'Production Occupations' or 'Material Moving'."
AMAZON.COM SERVICES LLC,Covington,GA,"{""PO BOX 80726, SEATTLE, WA 98108"": 1}",18.7,Warehouse Associate,97,Fulfillment Associate,85,Picker/Packer,62,"Amazon.jobs (https://www.amazon.jobs/en/locations/covington-ga), Indeed, Glassdoor","Amazon Covington, GA, at $18.70/hr, most commonly hires 'Warehouse Associate' and 'Fulfillment Associate' per job listings. 'Picker/Packer' is plausible based on similar postings, though less directly confirmed. All map to CSV's 'Material Moving' and 'Production' categories."
AMAZON.COM SERVICES LLC,Dallas,TX,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",18.0,Warehouse Associate,92,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/dallas-texas), Indeed.com, Glassdoor.com",Amazon's Dallas facilities list 'Warehouse Associate' and 'Fulfillment Associate' at $18/hr; 'Picker/Packer' is common for this pay and location. All roles fit the CSV's 'Laborers and Material Movers' category. Third title is moderately speculative but plausible.
AMAZON.COM SERVICES LLC,Daytona Beach,FL,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",17.5,Warehouse Associate,92,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/daytona-beach), Indeed.com, Glassdoor.com",Amazon's Daytona Beach facility lists 'Warehouse Associate' and 'Fulfillment Associate' at $17.5/hr; 'Picker/Packer' is common for this pay and location. All titles align with online postings and fit the CSV's 'Material Moving' and 'Production' categories. 'Picker/Packer' is moderately speculative but plausible.
AMAZON.COM SERVICES LLC,Des Moines,WA,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",19.75,Warehouse Associate,92,Fulfillment Associate,81,Package Sorter,54,"Amazon.jobs (https://www.amazon.jobs), Indeed (indeed.com), Glassdoor (glassdoor.com)","Amazon's Des Moines, WA facility lists 'Warehouse Associate' and 'Fulfillment Associate' at $19-20/hr. 'Package Sorter' is plausible but less directly evidenced. All map to the CSV's 'Transportation and Material Moving Occupations' or 'Laborers and Freight, Stock, and Material Movers' categories."
AMAZON.COM SERVICES LLC,El Paso,TX,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",16.5,Warehouse Associate,93,Fulfillment Associate,81,Picker/Packer,67,"Amazon.jobs (amazon.jobs/en/locations/el-paso), Indeed (indeed.com/q-Amazon-l-El-Paso,-TX-jobs.html), Glassdoor (glassdoor.com/Hourly-Pay/Amazon-El-Paso-Hourly-Pay-EI_IE6036.0,6_IL.7,14_IM333.htm)",Amazon El Paso jobs at $16.50/hr are most often listed as 'Warehouse Associate' or 'Fulfillment Associate.' 'Picker/Packer' is also plausible based on job ads and industry norms. All map to CSV's 'Material Moving' and 'Production' categories. Confidence for the third is moderate due to less direct evidence.
AMAZON.COM SERVICES LLC,Essex,MD,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",42.0104,Warehouse Associate,78,Process Assistant,54,Logistics Coordinator,31,"Amazon.jobs (https://www.amazon.jobs), Glassdoor (https://www.glassdoor.com), Indeed (https://www.indeed.com)","Warehouse Associate is supported by Amazon job listings in Maryland at similar pay. Process Assistant is plausible for this rate but less directly evidenced. Logistics Coordinator is speculative, inferred from industry roles at this wage. All map to CSV's 'Material Moving' or 'Logistics' categories."
AMAZON.COM SERVICES LLC,Evans,GA,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",20.1,Warehouse Associate,92,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/evans-ga), Indeed, Glassdoor","Amazon’s Evans, GA facility lists 'Warehouse Associate' and 'Fulfillment Associate' at $20/hr; 'Picker/Packer' is common for this pay and location. All titles align with industry norms and CSV’s 'Material Moving' and 'Production' categories. Third title is moderately speculative."
AMAZON.COM SERVICES LLC,Farmington Hill,MI,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",17.5,Warehouse Associate,92,Fulfillment Associate,81,Package Sorter,54,"Amazon.jobs (https://www.amazon.jobs/en/locations/farmington-hills-mi), Indeed, Glassdoor","Amazon's Farmington Hills, MI site lists 'Warehouse Associate' and 'Fulfillment Associate' at $17.5/hr. 'Package Sorter' is plausible but less directly evidenced. All map to the CSV's 'Material Moving' and 'Production' categories; third title is more speculative."
AMAZON.COM SERVICES LLC,Fayetteville,NC,"{""PO BOX 80726, SEATTLE, WA 98108"": 1}",17.4,Warehouse Associate,92,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/fayetteville-nc), Indeed.com, Glassdoor.com","Amazon's Fayetteville, NC site lists 'Warehouse Associate' and 'Fulfillment Associate' at $17-$18/hr. 'Picker/Packer' is common for this pay and setting. All map to CSV's 'Material Moving' or 'Production' categories. Third title is moderately speculative."
AMAZON.COM SERVICES LLC,Fontana,CA,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",20.75,Warehouse Associate,97,Fulfillment Associate,85,Picker/Packer,62,"Amazon.jobs (https://www.amazon.jobs/en/locations/fontana), Indeed.com, Glassdoor.com","Amazon Fontana offers $20-$21/hr for 'Warehouse Associate' and 'Fulfillment Associate' roles, both widely listed. 'Picker/Packer' is a common related title at similar pay, though less directly confirmed. All map to CSV's 'Material Moving' or 'Production' categories."
AMAZON.COM SERVICES LLC,Fort Worth,TX,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",19.4,Warehouse Associate,92,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/fort-worth-texas), Indeed.com, Glassdoor.com",Amazon’s Fort Worth facilities list 'Warehouse Associate' and 'Fulfillment Associate' at $19-$20/hr. 'Picker/Packer' is common for this pay and location but less directly confirmed. All map to the CSV’s 'Material Moving' and 'Production' categories.
AMAZON.COM SERVICES LLC,Ft. Mitchell,KY,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",22.9,Warehouse Associate,92,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/ft-mitchell-kentucky), Indeed, Glassdoor","Amazon's Ft. Mitchell, KY site lists 'Warehouse Associate' and 'Fulfillment Associate' at $22-$23/hr. 'Picker/Packer' is a common related title. All map to CSV's 'Material Moving' or 'Production' categories. Third title is plausible but less directly evidenced."
AMAZON.COM SERVICES LLC,Garland,TX,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",18.5,Warehouse Associate,92,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/garland-texas), Indeed.com, Glassdoor.com","Amazon's Garland, TX facility lists 'Warehouse Associate' and 'Fulfillment Associate' at $18.5/hr. 'Picker/Packer' is common for this pay and setting but less directly confirmed. All map to the CSV's 'Material Moving' and 'Production' categories."
AMAZON.COM SERVICES LLC,Glendale,CA,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",22.4,Warehouse Associate,92,Fulfillment Associate,81,Delivery Station Team Member,54,"Amazon.jobs (https://www.amazon.jobs/en/locations/glendale-ca), Indeed, Glassdoor","Amazon's Glendale, CA site lists 'Warehouse Associate' and 'Fulfillment Associate' roles at $22-$23/hr. 'Delivery Station Team Member' is plausible based on similar pay and duties, though less directly confirmed. All map to CSV's 'Transportation and Material Moving Occupations.'"
AMAZON.COM SERVICES LLC,Glendale Az,AZ,"{""PO BOX 80726, SEATTLE, WA 98108"": 1}",17.4,Warehouse Associate,93,Fulfillment Associate,81,Picker/Packer,56,"Amazon.jobs (https://www.amazon.jobs/en/locations/glendale-az), Indeed.com, Glassdoor.com","Amazon’s Glendale, AZ site lists 'Warehouse Associate' and 'Fulfillment Associate' at $17-18/hr. 'Picker/Packer' is a common related role but less directly confirmed. All map to the CSV’s 'Material Moving' and 'Production' categories. Lower confidence for speculative third title."
AMAZON.COM SERVICES LLC,Grand Rapids,MI,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 2}",19.05,Warehouse Associate,92,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/grand-rapids-mi), Indeed, Glassdoor","Amazon's Grand Rapids, MI facilities list 'Warehouse Associate' and 'Fulfillment Associate' at $19/hr. 'Picker/Packer' is common for this pay and location but less directly confirmed. All map to CSV's 'Material Moving' or 'Production' categories."
AMAZON.COM SERVICES LLC,Grand Rapids,MI,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 2}",20.55,Warehouse Associate,92,Fulfillment Associate,81,Picker/Packer,65,"Amazon.jobs (https://www.amazon.jobs/en/locations/grand-rapids-mi), Indeed, Glassdoor","Amazon's Grand Rapids, MI facilities list 'Warehouse Associate' and 'Fulfillment Associate' at $20-$21/hr. 'Picker/Packer' is a common related title but less directly confirmed. All map to the CSV's 'Material Moving' and 'Production' categories."
AMAZON.COM SERVICES LLC,Greeley,CO,"{""202 WESTLAKE AVE N, SEATTLE, WA 98109"": 1}",19.9,Warehouse Associate,93,Fulfillment Associate,81,Picker/Packer,62,"Amazon.jobs (https://www.amazon.jobs/en/locations/greeley-co), Indeed, Glassdoor","Amazon’s Greeley, CO site lists 'Warehouse Associate' and 'Fulfillment Associate' at $19-20/hr. 'Picker/Packer' is a common related role at similar pay. All map to the CSV’s 'Transportation and Material Moving Occupations.' Third title is moderately speculative."
